"vol" "age" "owner" "nuts" "species" "step0" "step1" "step2" "step3" "step4" "step5"
"4369" "2" "15" "communal" "DE1" "beech" 200.048289175503 0 162.039114232157 162.039123890441 195.267418432295 37.8278880315075
"6241" "3" "15" "communal" "DE1" "beech" 376.973907553556 158.570259494342 312.227910177945 307.077857288055 870.620977290418 150.498783394887
"8113" "4" "15" "communal" "DE1" "beech" 412.13208033884 810.715397435814 353.78864644142 795.052049723008 832.993892223726 1202.55416848341
"9985" "5" "15" "communal" "DE1" "beech" 654.332109356914 1110.70960670137 1191.65381605747 1061.21504916305 1005.83262901777 1497.83399562289
"11857" "6" "15" "communal" "DE1" "beech" 477.673692319963 1267.49992496904 525.747392245125 711.225395106864 1440.87127922777 1751.35815637431
"13729" "7" "15" "communal" "DE1" "beech" 799.391196454966 1048.08405478018 768.897406209168 430.52148896567 732.287675867495 1290.76969275595
"15601" "8" "15" "communal" "DE1" "beech" 256.660473443352 828.74775744804 212.571598170566 263.856808307674 907.097980477296 914.25128337217
"17473" "9" "15" "communal" "DE1" "beech" 73.3518935064078 310.223737002 299.049851916895 156.227252191242 644.048146534102 559.731949124851
"2497" "10" "15" "communal" "DE1" "beech" 396.730509186329 774.916893249796 764.131956142033 680.797390785894 567.492720043988 632.887717651747
"729" "1" "16" "communal" "DE1" "beech" 0 0 0 0 0 0
"4473" "2" "16" "communal" "DE1" "beech" 100.024144587751 140.033802422852 0 113.42737996251 113.427386723309 136.687192902606
"6345" "3" "16" "communal" "DE1" "beech" 196.789530549565 263.881735287489 110.99918164604 218.559537124562 214.954500101638 609.434684103293
"8217" "4" "16" "communal" "DE1" "beech" 129.834713408838 288.492456237188 567.50077820507 247.652052508994 556.536434806105 583.095724556609
"10089" "5" "16" "communal" "DE1" "beech" 422.907201623184 458.03247654984 777.496724690956 834.157671240226 742.850534414138 704.082840312441
"11961" "6" "16" "communal" "DE1" "beech" 154.833242773897 334.371584623974 887.249947478328 368.023174571587 497.857776574805 1008.60989545944
"13833" "7" "16" "communal" "DE1" "beech" 206.693163121759 559.573837518476 733.658838346123 538.228184346418 301.365042275969 512.601373107247
"15705" "8" "16" "communal" "DE1" "beech" 70.9327363511764 179.662331410346 580.123430213628 148.800118719396 184.699765815372 634.968586334107
"17577" "9" "16" "communal" "DE1" "beech" 85.8003303523536 51.3463254544855 217.1566159014 209.334896341826 109.359076533869 450.833702573872
"2601" "10" "16" "communal" "DE1" "beech" 367.909896573493 277.71135643043 542.441825274857 534.892369299423 476.558173550126 397.244904030791
"833" "1" "17" "communal" "DE1" "beech" 0 0 0 0 0 0
"4577" "2" "17" "communal" "DE1" "beech" 0 70.0169012114257 98.0236616959965 0 79.3991659737571 79.3991707063161
"6449" "3" "17" "communal" "DE1" "beech" 0 137.752671384695 184.717214701242 77.6994271522278 152.991675987193 150.468150071147
"8321" "4" "17" "communal" "DE1" "beech" 139.744635789338 90.8842993861866 201.944719366032 397.250544743549 173.356436756296 389.575504364274
"10193" "5" "17" "communal" "DE1" "beech" 135.72292416118 296.035041136229 320.622733584888 544.247707283669 583.910369868158 519.995374089896
"12065" "6" "17" "communal" "DE1" "beech" 125.212552385079 108.383269941728 234.060109236782 621.07496323483 257.616222200111 348.500443602363
"13937" "7" "17" "communal" "DE1" "beech" 82.455156169344 144.685214185231 391.701686262933 513.561186842286 376.759729042492 210.955529593178
"15809" "8" "17" "communal" "DE1" "beech" 50.9090868963192 49.6529154458235 125.763631987242 406.086401149539 104.160083103577 129.28983607076
"17681" "9" "17" "communal" "DE1" "beech" 106.279326902346 60.0602312466475 35.9424278181398 152.00963113098 146.534427439278 76.5513535737085
"2705" "10" "17" "communal" "DE1" "beech" 60.8035940298049 257.536927601445 194.397949501301 379.7092776924 374.424658509596 333.590721485088
"937" "1" "18" "communal" "DE1" "beech" 0 0 0 0 0 0
"4681" "2" "18" "communal" "DE1" "beech" 0 0 3.50084506057128 5.07622533782839 0.253811266891419 3.98264886203243
"6553" "3" "18" "communal" "DE1" "beech" 31.4868370154502 1.57434185077251 6.9663506617734 9.58417826815079 4.36418027101893 7.8677928129106
"8425" "4" "18" "communal" "DE1" "beech" 27.0952451613166 8.34199404753273 4.96131467168597 10.3453017018859 20.3797923222717 9.68681145392837
"10297" "5" "18" "communal" "DE1" "beech" 18.703788329555 7.72133562453675 15.1878188380383 16.7905276211463 28.0519117452408 30.59811408067
"12169" "6" "18" "communal" "DE1" "beech" 31.7716416221898 7.84920970036344 5.81162398210457 11.9935866609443 31.6534274947887 14.463482484745
"14041" "7" "18" "communal" "DE1" "beech" 150.017584442379 11.6236370305861 7.81544256079087 19.9758564411862 26.6768521641736 20.1718290603333
"15913" "8" "18" "communal" "DE1" "beech" 175.652799653162 11.3280943274741 3.04905048866488 6.44063412379537 20.6263517636667 6.23932174336219
"17785" "9" "18" "communal" "DE1" "beech" 74.0871571925625 9.01832420474542 3.45392777256965 1.96981777953547 7.69897244552576 7.71166999424021
"2809" "10" "18" "communal" "DE1" "beech" 385.884017208666 22.3343805619235 13.9935654081684 10.4195757454735 19.5064426718937 19.6965550590745
"40" "1" "1" "national" "DE1" "beech" 153.465554512621 0 0 0 0 0
"41" "1" "1" "national" "DE1" "beech" 153.465554512621 0 0 0 0 0
"3784" "2" "1" "national" "DE1" "beech" 0 0 0 0 0 0
"3785" "2" "1" "national" "DE1" "beech" 0 0 0 0 0 0
"5656" "3" "1" "national" "DE1" "beech" 0 0 0 0 0 0
"5657" "3" "1" "national" "DE1" "beech" 0 0 0 0 0 0
"7528" "4" "1" "national" "DE1" "beech" 0 0 0 0 0 0
"7529" "4" "1" "national" "DE1" "beech" 0 0 0 0 0 0
"9400" "5" "1" "national" "DE1" "beech" 0 0 0 0 0 0
"9401" "5" "1" "national" "DE1" "beech" 0 0 0 1.50005604243019 0.0595469409599401 2.95128225947237
"11272" "6" "1" "national" "DE1" "beech" 0 153.465554512621 0 0 0 0
"11273" "6" "1" "national" "DE1" "beech" 0 153.465554512621 0 0 0 0
"13144" "7" "1" "national" "DE1" "beech" 0 0 24.24221610775 2.92735625739892 1.29693528578572 1.22610992729148
"13145" "7" "1" "national" "DE1" "beech" 0 0 7.15713796830161 0 0 0
"15016" "8" "1" "national" "DE1" "beech" 0 0 0 0 0 0
"15017" "8" "1" "national" "DE1" "beech" 0 0 0 0 0 0
"16888" "9" "1" "national" "DE1" "beech" 0 0 0 0 0 0
"16889" "9" "1" "national" "DE1" "beech" 0 0 0 0 0 0
"1912" "10" "1" "national" "DE1" "beech" 0 0 0 0 0 0
"1913" "10" "1" "national" "DE1" "beech" 0 0 0 0 1.50005604243019 0.0595469409599401
"1080" "1" "2" "national" "DE1" "beech" 0 0 16.378834965921 13.1519080425816 9.56608897230859 7.04895970857636
"1081" "1" "2" "national" "DE1" "beech" 0 0 32.6878379039873 2.45734586901294 1.97320425813685 1.43521741733301
"4824" "2" "2" "national" "DE1" "beech" 0 0 91.6498380982607 51.5436647645112 19.0030926322316 8.08740936527329
"4825" "2" "2" "national" "DE1" "beech" 0 0 59.1674427036611 12.4038005789642 0.929323528644893 0.746229973986298
"6696" "3" "2" "national" "DE1" "beech" 41.1619751604742 0 0 7.11528336029984 0 0
"6697" "3" "2" "national" "DE1" "beech" 41.1619751604742 0 0 0 0 0
"8568" "4" "2" "national" "DE1" "beech" 23.2491943158004 0 0 0 0 0
"8569" "4" "2" "national" "DE1" "beech" 23.2491943158004 0 0 0 0 0
"10440" "5" "2" "national" "DE1" "beech" 0 0 0 0 0 0
"10441" "5" "2" "national" "DE1" "beech" 0 0 0 0 0 1.50005604243019
"12312" "6" "2" "national" "DE1" "beech" 0 0 32.4823953945996 14.3909934595839 13.6051043855228 27.3917011397709
"12313" "6" "2" "national" "DE1" "beech" 0 0 10.683010488161 15.2278171271086 1.93290821522455 1.48632798954144
"14184" "7" "2" "national" "DE1" "beech" 0 0 0 12.1639504822296 8.65043186536508 2.97359523308131
"14185" "7" "2" "national" "DE1" "beech" 0 0 0 25.4190205414311 13.9017922702944 5.05655672216338
"16056" "8" "2" "national" "DE1" "beech" 0 0.776641040763664 0 16.8906169879746 6.62199232130046 2.59370109233257
"16057" "8" "2" "national" "DE1" "beech" 0 81.5473092801847 0 58.0510758601958 19.1507993366365 0.911789122444046
"17928" "9" "2" "national" "DE1" "beech" 0 0.438664043694347 0 0 0 0
"17929" "9" "2" "national" "DE1" "beech" 0 23.2491943158004 0 0 0 0
"2952" "10" "2" "national" "DE1" "beech" 0 0 0 0 0 0
"2953" "10" "2" "national" "DE1" "beech" 0 22.810530272106 0 0 0 0
"1184" "1" "3" "national" "DE1" "beech" 0 0 16.2411976972998 11.9795304207174 6.94313957794398 5.25562927817862
"1185" "1" "3" "national" "DE1" "beech" 0 0 0 14.9093588124149 9.86575850477462 4.16134519539076
"4928" "2" "3" "national" "DE1" "beech" 0 0 0 1.24835178738062 2.84283254571199 1.30470002709614
"4929" "2" "3" "national" "DE1" "beech" 0 0 0 6.89426950800311 46.7723221276338 24.7439348092911
"6800" "3" "3" "national" "DE1" "beech" 0 0 0.776641040763664 0 16.8906169879746 6.62199232130046
"6801" "3" "3" "national" "DE1" "beech" 0 0 81.5473092801847 0 58.0510758601958 19.1507993366365
"8672" "4" "3" "national" "DE1" "beech" 0 0 0.438664043694347 0 0 0
"8673" "4" "3" "national" "DE1" "beech" 0 0 23.2491943158004 0 0 0
"10544" "5" "3" "national" "DE1" "beech" 0 0 0 0 0 0
"10545" "5" "3" "national" "DE1" "beech" 0 0 22.810530272106 0 0 0
"12416" "6" "3" "national" "DE1" "beech" 10.6947578046719 0 0 0.0343365701845662 0.0253267027922144 0.0146789420252515
"12417" "6" "3" "national" "DE1" "beech" 10.6947578046719 1.63087215789718 0.248696047538573 11.9959201138388 15.896828132684 9.01627189197929
"14288" "7" "3" "national" "DE1" "beech" 0 3.70082528138207 16.8055464205604 12.0092941509184 13.6936933113285 12.8428667870615
"14289" "7" "3" "national" "DE1" "beech" 0 0 0 0 2.83881685623657 19.2591914643198
