"vol" "age" "owner" "nuts" "species" "step0.nomgmt" "step0.finalfell" "step1.nomgmt" "step1.finalfell" "step2.nomgmt" "step2.finalfell" "step3.nomgmt" "step3.finalfell" "step4.nomgmt" "step4.finalfell" "step5.nomgmt" "step5.finalfell"
"1977" "10" "10" "communal" "DE1" "beech" 781.342861298453 0 840.131367680475 0 459.47515370921 0 325.712867875408 0 1289.84542223698 0 1107.77355171632 0
"209" "1" "11" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0.840539030149168 0 0 0
"3953" "2" "11" "communal" "DE1" "beech" 241.07088695345 0 46.7010963351944 0 549.224289283693 0 713.02951516347 0 512.741575492441 0 294.218837491508 0
"5825" "3" "11" "communal" "DE1" "beech" 1074.84071270422 0 185.800967154182 0 976.197605825157 0 935.560368627305 0 201.820903254421 0 134.421896228091 0
"7697" "4" "11" "communal" "DE1" "beech" 1028.38752126386 0 1484.63477590544 0 1687.39252669899 0 28.1745012255934 0 91.2643641431622 0 54.5080132146799 0
"9569" "5" "11" "communal" "DE1" "beech" 1241.76867779972 0 1849.17777237394 0 2472.69112296458 0 697.68807864451 0 1350.80639256612 0 690.27637083159 0
"11441" "6" "11" "communal" "DE1" "beech" 1778.8534311454 0 2162.17056342507 0 2228.45339503405 0 542.581365325496 0 960.469011683628 0 257.490959061854 0
"13313" "7" "11" "communal" "DE1" "beech" 904.058859095673 0 1593.5428305629 0 1944.16171769034 0 1054.48119493823 0 1132.32482761032 0 629.048284273306 0
"15185" "8" "11" "communal" "DE1" "beech" 1119.87404997197 0 1128.70528811379 0 925.842375302511 0 3093.55555630307 0 3852.18111905591 0 2152.77409924037 0
"17057" "9" "11" "communal" "DE1" "beech" 795.12116856062 0 691.027097685001 0 667.284108702941 0 1097.09682953876 0 1424.57403011812 0 1555.08615721315 0
"2081" "10" "11" "communal" "DE1" "beech" 700.608296350602 0 781.342861298453 0 840.131367680475 0 459.47515370921 0 325.712867875408 0 1289.84542223698 0
"313" "1" "12" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0 0 0.840539030149168 0
"4057" "2" "12" "communal" "DE1" "beech" 200.04830109931 0 241.07088695345 0 46.7010963351944 0 549.224289283693 0 713.02951516347 0 512.741575492441 0
"5929" "3" "12" "communal" "DE1" "beech" 379.108465787722 0 1074.84071270422 0 185.800967154182 0 976.197605825157 0 935.560368627305 0 201.820903254421 0
"7801" "4" "12" "communal" "DE1" "beech" 981.545740398775 0 1028.38752126386 0 1484.63477590544 0 1687.39252669899 0 28.1745012255934 0 91.2643641431622 0
"9673" "5" "12" "communal" "DE1" "beech" 1310.14203600377 0 1241.76867779972 0 1849.17777237394 0 2472.69112296458 0 697.68807864451 0 1350.80639256612 0
"11545" "6" "12" "communal" "DE1" "beech" 878.056043341807 0 1778.8534311454 0 2162.17056342507 0 2228.45339503405 0 542.581365325496 0 960.469011683628 0
"13417" "7" "12" "communal" "DE1" "beech" 531.508011068728 0 904.058859095673 0 1593.5428305629 0 1944.16171769034 0 1054.48119493823 0 1132.32482761032 0
"15289" "8" "12" "communal" "DE1" "beech" 325.749146058857 0 1119.87404997197 0 1128.70528811379 0 925.842375302511 0 3093.55555630307 0 3852.18111905591 0
"17161" "9" "12" "communal" "DE1" "beech" 192.873150853385 0 795.12116856062 0 691.027097685001 0 667.284108702941 0 1097.09682953876 0 1424.57403011812 0
"2185" "10" "12" "communal" "DE1" "beech" 840.490605908511 0 700.608296350602 0 781.342861298453 0 840.131367680475 0 459.47515370921 0 325.712867875408 0
"417" "1" "13" "communal" "DE1" "beech" 0 0 0 0 0 0 0 0 0 0 0 0
"4161" "2" "13" "communal" "DE1" "beech" 180.043460257953 20.0048289175503 180.043470989379 20.004830109931 216.963798258105 24.107088695345 42.030986701675 4.67010963351944 494.301860355324 54.9224289283693 641.726563647123 71.302951516347
"6033" "3" "13" "communal" "DE1" "beech" 346.919900197717 38.5466555775241 341.19761920895 37.9108465787722 967.356641433798 107.484071270422 167.220870438764 18.5800967154182 878.577845242641 97.6197605825157 842.004331764575 93.5560368627305
"7905" "4" "13" "communal" "DE1" "beech" 393.098496046022 43.6776106717802 883.391166358898 98.1545740398775 925.548769137474 102.838752126386 1336.1712983149 148.463477590544 1518.65327402909 168.739252669899 25.357051103034 2.81745012255934
"9777" "5" "13" "communal" "DE1" "beech" 1324.05979561941 147.117755068823 1179.12783240339 131.014203600377 1117.59181001975 124.176867779972 1664.25999513655 184.917777237394 2225.42201066812 247.269112296458 627.919270780059 69.768807864451
"11649" "6" "13" "communal" "DE1" "beech" 584.16376916125 64.9070854623611 790.250439007626 87.8056043341807 1600.96808803086 177.88534311454 1945.95350708256 216.217056342507 2005.60805553065 222.845339503405 488.323228792947 54.2581365325496
