vol age owner nuts species area
1 5 private DEC beech 0
1 5 private DEC spruce 0
1 5 private DED beech 0
1 5 private DED spruce 0
1 5 private DEE beech 0
1 5 private DEE spruce 0
1 5 private DEF beech 0
1 5 private DEF spruce 0
1 5 private DEG beech 0
1 5 private DEG spruce 400.387892376682
1 6 communal DE1 beech 0
1 6 communal DE1 spruce 0
1 6 communal DE2 beech 0
1 6 communal DE2 spruce 0
1 6 communal DE3_4 beech 0
1 6 communal DE3_4 spruce 0
1 6 communal DE7 beech 0
1 6 communal DE7 spruce 399.750520959536
1 6 communal DE8 beech 0
1 6 communal DE8 spruce 0
1 6 communal DE9_5_6 beech 0
1 6 communal DE9_5_6 spruce 0
1 6 communal DEA beech 0
1 6 communal DEA spruce 0
1 6 communal DEB beech 0
1 6 communal DEB spruce 0
1 6 communal DEC beech 0
1 6 communal DEC spruce 0
1 6 communal DED beech 0
1 6 communal DED spruce 0
1 6 communal DEE beech 0
1 6 communal DEE spruce 0
1 6 communal DEF beech 0
1 6 communal DEF spruce 0
1 6 communal DEG beech 0
1 6 communal DEG spruce 0
1 6 land DE1 beech 0
1 6 land DE1 spruce 100.024144587751
1 6 land DE2 beech 0
1 6 land DE2 spruce 0
1 6 land DE3_4 beech 0
1 6 land DE3_4 spruce 0
1 6 land DE7 beech 0
1 6 land DE7 spruce 0
1 6 land DE8 beech 99.9742848513613
1 6 land DE8 spruce 0
1 6 land DE9_5_6 beech 397.707321107716
1 6 land DE9_5_6 spruce 0
1 6 land DEA beech 0
1 6 land DEA spruce 0
1 6 land DEB beech 0
1 6 land DEB spruce 0
1 6 land DEC beech 0
1 6 land DEC spruce 0
1 6 land DED beech 0
1 6 land DED spruce 199.445623916811
1 6 land DEE beech 0
1 6 land DEE spruce 0
1 6 land DEF beech 0
1 6 land DEF spruce 0
1 6 land DEG beech 0
1 6 land DEG spruce 0
1 6 national DE1 beech 0
1 6 national DE1 spruce 0
1 6 national DE2 beech 0
1 6 national DE2 spruce 0
1 6 national DE3_4 beech 0
1 6 national DE3_4 spruce 0
1 6 national DE7 beech 0
1 6 national DE7 spruce 0
1 6 national DE8 beech 0
1 6 national DE8 spruce 0
1 6 national DE9_5_6 beech 0
1 6 national DE9_5_6 spruce 0
1 6 national DEA beech 0
1 6 national DEA spruce 0
1 6 national DEB beech 0
1 6 national DEB spruce 0
1 6 national DEC beech 0
1 6 national DEC spruce 0
1 6 national DED beech 0
1 6 national DED spruce 0
1 6 national DEE beech 0
1 6 national DEE spruce 0
1 6 national DEF beech 0
1 6 national DEF spruce 0
1 6 national DEG beech 0
1 6 national DEG spruce 0
1 6 private DE1 beech 0
