"vol" "age" "siteclass" "species" "step0.nomgmt" "step0.finalfell" "step0.thin" "step1.nomgmt" "step1.finalfell" "step1.thin" "step2.nomgmt" "step2.finalfell" "step2.thin" "step3.nomgmt" "step3.finalfell" "step3.thin" "step4.nomgmt" "step4.finalfell" "step4.thin" "step5.nomgmt" "step5.finalfell" "step5.thin" "step6.nomgmt" "step6.finalfell" "step6.thin"
"2355" "6" "6" "I" "manty" 23614.5002380906 0 14801.843349427 17987.2574673272 0 11274.622144564 10861.7827233375 0 6808.29171675729 11072.7707519787 0 6940.54146657472 10160.4930979539 0 6368.71522465082 43944.7807106975 0 27545.0995594417 29958.898845435 0 18778.5861720746
"2655" "7" "6" "I" "manty" 22679.0068130129 0 61298.242731098 19906.1092674329 0 53803.4812444574 15290.5653870092 0 41328.2996171953 13040.1014814224 0 35245.6045556515 6380.06598387646 0 17244.4426929525 26186.1332734776 0 70777.5242020515 17801.1176921603 0 48113.9779257343
"2955" "8" "6" "I" "manty" 3799.20283344187 0 37140.1167668035 6533.15024645076 0 63866.5461271074 5732.05424368029 0 56035.2192965364 4356.86490148136 0 42591.6904867147 1410.13901180042 0 13785.188591325 5596.08759654943 0 54706.041210444 3796.81412062157 0 37116.7652699349
"3255" "9" "6" "I" "manty" 0 0 28400.3414051268 0 0 36930.2810048824 0 0 38138.8478606281 0 0 26761.4292401746 0 0 5885.20783946251 0 0 22374.8087682516 0 0 15144.6781554092
"555" "10" "6" "I" "manty" 0 0 8168.19372085612 0 0 13003.2983513487 0 0 16751.5006841661 0 0 11964.0019351478 0 0 1986.29573479107 0 0 7300.56465343791 0 0 4931.93410572363
"855" "11" "6" "I" "manty" 0 0 1720.86101685126 0 0 4501.51955407017 0 0 5422.75517937533 0 0 3617.94037730086 0 0 524.220396077187 0 0 1870.40192980367 0 0 1261.43202350754
"267" "1" "7" "I" "manty" 0 0 0 1.37037567025225 0 0 0.0046160728272005 0 0 0.0514169365579836 0 0 0.482544320021806 0 0 3.14927185925732 0 0 15.8818057573171 0 0
"1167" "2" "7" "I" "manty" 0 0 0 24.9559190599929 1.46448779099142 0.981657655331887 0.149163591558961 0.00875336460954973 0.00586744896866541 0.42000464925827 0.0246471259792004 0.0165211619026417 2.49150076080054 0.1462086984922 0.0980048376189024 13.8940936547976 0.815346871234334 0.546533404253401 69.2924067967108 4.06628517740605 2.72566285476572
"1467" "3" "7" "I" "manty" 0 0 0 292.028321211711 10.1764756846713 10.2182253285058 2.57933765622571 0.0898836346838724 0.0902523880569343 5.24117405756509 0.182642149688194 0.183391450815119 26.1879974469422 0.912587923470053 0.916331873925314 135.218963382123 4.71205151354837 4.73138300693728 670.45542129402 23.3637383666918 23.4595896010167
"1767" "4" "7" "I" "manty" 781.070036325066 4.20537354573075 22.9613395596898 394.799631341425 2.12564795510412 11.6060378348685 69.7900526162708 0.37575790566555 2.0516381649339 59.7477345061144 0.321688876059749 1.75642126328622 156.894133497013 0.84473658929875 4.61226177757117 548.291222878107 2.95206485566467 16.1182741119291 2634.23935663823 14.1830565612925 77.439488824657
"2067" "5" "7" "I" "manty" 4438.04275326601 0 325.81825405146 1760.92549446322 0 129.278085412424 545.503919831479 0 40.04808980421 367.248152536698 0 26.9614689437309 680.465371529944 0 49.956264871763 1764.03757366786 0 129.506558248153 8281.74896713594 0 608.003378736939
"2367" "6" "7" "I" "manty" 21715.4764779943 0 5077.58157478474 10998.4081398842 0 2571.68266971393 6176.48934363444 0 1444.2063253769 3892.69611302089 0 910.202549768628 4366.85844443563 0 1021.0726897763 5501.71033899362 0 1286.42735863454 24609.3781482773 0 5754.24284054875
"2667" "7" "7" "I" "manty" 39829.4746304008 99.4368534419424 22193.6179405521 34305.4417270191 85.6457488562252 19115.5387821814 26650.0203239965 66.5334953516899 14849.815988466 18859.2488686008 47.0833317078405 10508.6739887863 17364.8711497591 43.3525213068932 9675.9829111708 12306.2420427286 30.7233273293005 6857.23416426418 52558.8993091209 131.216683528177 29286.6562129403
"2967" "8" "7" "I" "manty" 23772.0652187981 142.964067950433 38355.2170872734 28891.1782611422 173.750169961163 46614.6884552948 32364.0846378295 194.636063494283 52218.0753203234 26105.2738439672 156.995873490301 42119.7500592549 21314.9696116874 128.187212001969 34390.7977342425 9665.60979048572 58.1285169021272 15595.0506774564 39712.7683603579 238.830697380069 64074.8642399671
"3267" "9" "7" "I" "manty" 5472.88611713405 0 24160.0926018792 9276.55317570117 0 40951.4064342638 11505.6805522768 0 50791.9042423296 10534.861862729 0 46506.2186027764 7934.9724327903 0 35028.9892145542 2634.55744902458 0 11630.2715918263 10544.6877655743 0 46549.5951170252
"567" "10" "7" "I" "manty" 681.206603855719 0 15602.6121972271 720.370620991447 0 16499.639571882 1011.95805558149 0 23178.2678143885 1076.2806101333 0 24651.5357899577 790.524625100789 0 18106.4732608176 198.016859205422 0 4535.45260014758 770.126202161031 0 17639.2601117339
"867" "11" "7" "I" "manty" 4.75001806466738e-13 254.758005578048 4023.67791162976 8.18821161944074e-13 439.158848033939 6936.12651159486 1.37018949677278e-12 734.874559863947 11606.6952543218 1.5418632499846e-12 826.948447548 13060.9210686258 1.08227229688814e-12 580.455754260178 9167.78647169751 2.12632240825975e-13 114.041178069099 1801.17978303253 7.99376089713805e-13 428.729860707442 6771.40985882049
"279" "1" "8" "I" "manty" 0 0 0 0 0 0 0.168002380398867 0 0 0.000748822985418994 0 0 0.0048527213186161 0 0 0.0414677969743363 0 0 0.263986090250766 0 0
"1179" "2" "8" "I" "manty" 0 0 0 0 0 0 3.1021799182895 0.182045173526663 0.122026307974674 0.0189584710078196 0.0011125396448062 0.000745744051881015 0.0639852257748954 0.00375484396010021 0.00251690136352298 0.438206589486621 0.0257152701406193 0.017237147313722 2.59907735624926 0.152521614087588 0.102236434467847
"1479" "3" "8" "I" "manty" 0 0 0 3.25188536995533 0.113320284345633 0.113785188076281 53.06800293211 1.84929064150996 1.85687747491103 0.721791490159912 0.0251526753245618 0.0252558657874318 1.17660171727339 0.0410017039330054 0.0411699160517049 5.50213108097289 0.191735866326479 0.192522475008844 27.9083935720246 0.972539537965047 0.976529443761826
