"vol" "age" "siteclass" "species" "step0.nomgmt" "step0.finalfell" "step0.thin" "step1.nomgmt" "step1.finalfell" "step1.thin" "step2.nomgmt" "step2.finalfell" "step2.thin" "step3.nomgmt" "step3.finalfell" "step3.thin" "step4.nomgmt" "step4.finalfell" "step4.thin"
"3105" "15" "10" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3617" "16" "10" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4129" "17" "10" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"65" "1" "11" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4673" "2" "11" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5185" "3" "11" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5697" "4" "11" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6209" "5" "11" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6721" "6" "11" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0.0388231337579618 0 0.00970578343949045
"7233" "7" "11" "SE11" "BT" 0 0 0 0 0 0 0 0 0 7.9099349472 0 2.2310072928 8.36072102962548 0 2.35815208527898
"7745" "8" "11" "SE11" "BT" 0 0 0 0 0 0 17.14837248 0 5.41527552 88.8253364702981 0 28.0501062537783 90.1582541755319 0 28.4710276343785
"8257" "9" "11" "SE11" "BT" 0 0 0 0 0 0 53.2485297056209 0 18.7089428695425 190.323385880578 0 66.8703788229059 191.239962731581 0 67.1924193381231
"577" "10" "11" "SE11" "BT" 0 0 0 78.972768 0 30.711632 1.03674800941176 0 0.403179781437909 2.1897626387375 0 0.85157435950903 2.17581510600669 0 0.846150319002603
"1089" "11" "11" "SE11" "BT" 0 0 0 1.29040470588235 0 0.553030588235294 0 0 0 0.00419414410790558 0 0.00179749033195954 0.00416742981422466 0 0.00178604134895342
"1601" "12" "11" "SE11" "BT" 19.0604 0 8.9696 190.537472 0 89.6646927058824 0 0 0 0.619295335704459 0 0.291433099155039 0.615350779426087 0 0.289576837376982
"2113" "13" "11" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2625" "14" "11" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3137" "15" "11" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3649" "16" "11" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4161" "17" "11" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"97" "1" "12" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4705" "2" "12" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5217" "3" "12" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5729" "4" "12" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6241" "5" "12" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6753" "6" "12" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 1.740185688384 0 0.490821604416
"7265" "7" "12" "SE11" "BT" 0 0 0 0 0 0 0 0 0 4.1156093952 0 1.2996661248 27.3296313127435 0 8.6304098882348
"7777" "8" "12" "SE11" "BT" 0 0 0 0 0 0 0 0 0 26.5344133586614 0 9.32290199088105 115.214829316971 0 40.480885976233
"8289" "9" "12" "SE11" "BT" 0 0 0 0 0 0 22.11237504 0 8.59925696 38.6292308306824 0 15.0224786563765 137.645971372863 0 53.5289888672245
"609" "10" "12" "SE11" "BT" 0 0 0 0 0 0 55.6680590117647 0 23.8577395764706 0.725723606588235 0 0.311024402823529 1.53409209034863 0 0.657468038720839
"1121" "11" "12" "SE11" "BT" 0 0 0 6.099328 0 2.870272 61.84946624 0 29.1056311717647 0 0 0 0.201026525418803 0 0.0946007178441424
"1633" "12" "12" "SE11" "BT" 0 0 0 0.0822213333333333 0 0.0423564444444445 0.821926349803922 0 0.423416604444445 0 0 0 0.00267147007558786 0 0.00137621185712102
