"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell"
"146" "10" "8" "pub" 203.0315789093 38.0684210907 0 0 0 0 0 0 0 18.8471564478643 3.53384183817099 0 21.3532809145013 4.00374017622343 0 2.58653742848252 0.484975768416381 0
"74" "1" "9" "pub" 135.87472330518 85.86527669482 0 205.421079420685 129.814710156125 0 60.820711383727 38.4353107384794 0 92.7878528806501 58.636768250269 0 139.63831348454 88.2436566043106 0 118.650301846612 74.9803992248122 0
"222" "2" "9" "pub" 0 0 0 266.408449531339 168.355339951403 0 86.7400687340948 54.8149046504576 0 142.749695967948 90.2098774829447 0 197.100494271321 124.556562586557 0 165.636852484899 104.673288920197 0
"296" "3" "9" "pub" 266.49804235887 168.41195764113 0 379.014836883732 239.516320981704 0 161.305639740679 101.936203083626 0 263.534428592574 166.539118382514 0 344.822306651708 217.90854141939 0 287.031715437277 181.388098291502 0
"370" "4" "9" "pub" 582.93651021324 368.38348978676 0 411.507594923494 260.049938948275 0 366.493274535047 231.603389204787 0 532.583790556746 336.563368277252 0 711.239792037959 449.464036092557 0 588.917231932131 372.162973657898 0
"444" "5" "9" "pub" 140.88714883344 89.03285116656 0 410.922048618473 259.679906213154 0 495.036285441477 312.835430972229 0 689.190523513686 435.530123318341 0 1088.80565851683 688.064688275022 0 916.454416105349 579.148277934896 0
"518" "6" "9" "pub" 109.35421268622 69.10578731378 0 187.374661192029 118.410376392931 0 246.723849821242 155.915766500071 0 299.741376742833 189.419898159443 0 482.577999645159 304.96248646112 0 407.413192258783 257.462503926119 0
"592" "7" "9" "pub" 0 0 0 146.914185755586 92.8416036731438 0 162.475138159112 102.675261113333 0 210.033606714813 132.729571159987 0 354.527784580311 224.041864288598 0 300.799458702863 190.08854717711 0
"666" "8" "9" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"740" "9" "9" "pub" 277.66876575498 175.47123424502 0 139.096259713903 87.9011087347217 0 72.5384777884514 45.8402881331864 0 0 0 0 10.7409652844747 6.78769335227574 0 12.1692017385617 7.69025944648861 0
"148" "10" "9" "pub" 0 0 0 124.410839751578 78.6207391577218 0 0 0 0 0 0 0 11.5488958575043 7.29826059036 0 13.0845636146642 8.26871729983707 0
"4" "1" "10" "pub" 139.65675 52.97325 0 45.9318571428571 17.4224285714286 0 104.315305402273 39.567874462931 0 31.9146919743376 12.1055728178522 0 50.0528604271575 18.9855677482322 0 73.00512462562 27.6915989959248 0
"152" "2" "10" "pub" 763.06975 289.44025 0 199.359490827018 75.6191172102481 0 514.72358101319 195.239979005003 0 174.487704828969 66.1849914868504 0 280.371344424568 106.347751333457 0 390.815423708811 148.240333130928 0
"226" "3" "10" "pub" 673.6555 255.5245 0 210.177237872038 79.7224005721522 0 286.605877043775 108.712574051087 0 148.911464419271 56.4836589176545 0 232.146785571395 88.0556772857015 0 308.525538164602 117.026928269332 0
"300" "4" "10" "pub" 473.7295 179.6905 0 335.001012218878 127.069349462333 0 335.94938203735 127.429075945202 0 270.993246075474 102.790541614835 0 397.112451043797 150.62886074075 0 554.111848842568 210.180356457526 0
"374" "5" "10" "pub" 912.65175 346.17825 0 500.755420517659 189.941711230836 0 593.744186088905 225.213311964757 0 588.333064221265 223.160817463238 0 831.486473007488 315.391420795944 0 1224.48766048395 464.46083673529 0
"448" "6" "10" "pub" 643.0895 243.9305 0 117.774195289877 44.6729706271948 0 297.978535555711 113.026341072856 0 367.602261070429 139.435340406025 0 486.709345837659 184.613889800491 0 777.055610182734 294.745231448623 0
"522" "7" "10" "pub" 0 0 0 26.4272680658365 10.0241361629035 0 103.22319223335 39.1536246402363 0 123.702943530975 46.9218061669214 0 155.271934032595 58.8962508399497 0 256.444015057566 97.2718677804562 0
"596" "8" "10" "pub" 0 0 0 153.643912893476 58.278725580284 0 202.455757623623 76.7935632365468 0 196.201977482653 74.4214397347996 0 206.030055655341 78.1493314554742 0 347.042640678208 131.636863705527 0
"670" "9" "10" "pub" 0 0 0 100.65492758618 38.1794552913098 0 78.9224120909641 29.9360873448484 0 26.2951981983136 9.97404069591207 0 0 0 0 6.53921937962758 2.48039355778977 0
"78" "10" "10" "pub" 0 0 0 100.65492758618 38.1794552913098 0 169.120270910858 64.1490682765325 0 26.2951981983136 9.97404069591207 0 0 0 0 14.9121688763182 5.65633991860344 0
"6" "1" "11" "pub" 159.89393948348 51.16606051652 0 162.313215579111 51.9402288653336 0 46.7923915832858 14.9735652720625 0 114.182881838423 36.5385221038913 0 37.1061469160791 11.8739669857165 0 59.0525857262837 18.8968273887591 0
"154" "2" "11" "pub" 581.76515184094 186.16484815906 0 478.485201987528 153.115264282313 0 133.99965927225 42.8798908680675 0 311.40721577568 99.6503088180255 0 108.874935776043 34.8399793678533 0 173.498367957797 55.5194776182452 0
"228" "3" "11" "pub" 159.1287879679 50.9212120321 0 819.305749917686 262.177839368029 0 263.661425144032 84.3716558511916 0 460.452925934332 147.34493595862 0 207.827722841403 66.5048711556226 0 324.419519639329 103.814246044774 0
"302" "4" "11" "pub" 290.3030304656 92.8969695344 0 530.284533125242 169.691050208091 0 260.306213391042 83.297988092715 0 298.539172764549 95.5325350639754 0 220.128048757077 70.4409754395461 0 324.91599546174 103.973118307579 0
"376" "5" "11" "pub" 152.50757584298 48.80242415702 0 499.11363664314 159.71636335686 0 270.295736160095 86.4946353714278 0 320.185157038866 102.459250015756 0 308.566280012696 98.7412093759707 0 436.516221115086 139.685190434155 0
"450" "6" "11" "pub" 0 0 0 385.600989273176 123.39231628238 0 194.608927606722 62.2748566902963 0 243.767411707386 78.0055715661705 0 238.385243912911 76.2832778759171 0 334.345149458581 106.990447579598 0
"524" "7" "11" "pub" 378.31818203004 121.06181796996 0 892.767887705337 285.685723405774 0 320.93336988421 102.698678125713 0 533.027691416615 170.568860859303 0 593.010025779496 189.763207811086 0 801.572028003937 256.503048368738 0
"598" "8" "11" "pub" 0 0 0 0 0 0 166.71113600257 53.3475633975895 0 221.513204764278 70.8842253608263 0 206.225363196666 65.9921160704912 0 215.028139629025 68.8090045223392 0
"672" "9" "11" "pub" 122.25000006846 39.11999993154 0 0 0 0 137.263166516678 43.9242131838721 0 176.575650176492 56.5042079259528 0 102.523811062802 32.807619464311 0 88.4171460677215 28.2934866763129 0
"80" "10" "11" "pub" 189.55303040918 60.65696959082 0 0 0 0 76.2537330625356 24.4011945236446 0 128.121417428459 40.9988534823995 0 19.9206047068477 6.37459349146595 0 0 0 0
"8" "1" "12" "pub" 148.89319442197 53.37680557803 0 194.934416196781 69.882149242592 0 180.282792218326 64.6296802661791 0 51.3539808194803 18.4099176627969 0 122.867599761991 44.0468754115688 0 41.1339346538966 14.7461275258693 0
"156" "2" "12" "pub" 499.99611103564 179.24388896436 0 396.863433814548 142.271797109236 0 440.633728126299 157.963034701669 0 129.013416300771 46.2500926625803 0 278.521871651066 99.8474634791926 0 103.559197380298 37.1249953085121 0
"230" "3" "12" "pub" 675.66166656468 242.21833343532 0 259.090716686794 92.8815777332992 0 558.723728889758 200.297185942973 0 185.109465069822 66.3599969497806 0 325.238022014362 116.594762675614 0 148.52513479814 53.244859675072 0
"304" "4" "12" "pub" 153.66319442125 55.08680557875 0 175.965911160623 63.0821191314004 0 533.311542158161 191.187156732095 0 212.794992267566 76.2849972716302 0 303.026669198342 108.63220222758 0 180.659408280078 64.7646935714126 0
"378" "5" "12" "pub" 0 0 0 133.76016046665 47.9517556664159 0 307.525554717453 110.245010244788 0 156.795422783563 56.2096798979573 0 182.844633273784 65.5480761167743 0 153.120885234621 54.8923928513569 0
"452" "6" "12" "pub" 632.3930554601 226.7069445399 0 195.689610260325 70.1528791900548 0 783.498548966092 280.876838469259 0 385.27229132711 138.116481875513 0 487.838814048972 174.885612683628 0 474.971479568892 170.272794659828 0
"526" "7" "12" "pub" 171.55069441855 61.49930558145 0 177.582670296693 63.6617120295684 0 528.550784640454 189.480470073828 0 229.538108640424 82.2872465408049 0 346.486105231224 124.212000059601 0 369.396038599543 132.424995045394 0
