"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell"
"8" "1" "12" "pub" 0 0 0 20.5970898696105 16.166594578428 9.42658577604152 50.3327102358399 39.505994563673 23.0355653824101 33.5406281354381 26.3259392663755 15.3504019306878 83.5852631811776 65.6058244701371 38.2541251205055 71.5079680002933 56.1263914031661 32.7267588913008
"76" "2" "12" "pub" 107.5109182837 84.385 49.2040817163 86.2951829343566 67.732832424516 39.4943629968874 189.885794209544 149.040795113381 86.9042538581633 93.2080434294855 73.1587160667906 42.6581435516971 207.090872220985 162.545009672913 94.7784314572828 186.36521210201 146.277500688155 85.2930034617068
"110" "3" "12" "pub" 225.17093860032 176.736 103.05306139968 109.959837675555 86.3071495470473 50.3248686261047 207.129114349662 162.575025805972 94.7959335757139 87.1158984791045 68.3770096146019 39.8699765194419 161.293828617301 126.599046358759 73.8186860489666 157.085103937393 123.295630875163 71.8924962593385
"144" "4" "12" "pub" 293.90033650603 230.6815 134.50816349397 129.831824133788 101.904612614501 59.4195992931421 207.033009237812 162.499593189518 94.7519495427216 89.6030661911301 70.3291801543925 41.0082683813132 142.793740610461 112.07838230548 65.3518265282875 147.744056158351 115.963870255702 67.6174171736683
"178" "5" "12" "pub" 216.93482636183 170.2715 99.28367363817 230.583021711237 180.983927937045 105.529987314704 295.011339672685 231.553523081142 135.016631763722 138.821991102716 108.960967929699 63.534092195296 187.154248538503 146.896813040392 85.6541185365111 201.844215079142 158.426924086981 92.377215368109
"212" "6" "12" "pub" 0 0 0 286.914804342978 225.198576581714 131.311123594491 329.877755691027 258.920069313627 150.973801605709 162.666591415374 127.676523796071 74.4469527773303 163.247826476833 128.132733467091 74.7129642477647 183.612719310129 144.117077282321 84.0332813570377
"246" "7" "12" "pub" 136.52236724072 107.156 62.48163275928 82.4259612734692 64.695891850793 37.7235521637178 128.10991556104 100.553091697082 58.6315404478263 104.079494142271 81.6916853971948 47.6336358810908 72.3946611216625 56.8223541969104 33.1325681011711 88.5670856870135 69.516042137943 40.5341354263092
"280" "8" "12" "pub" 216.25257126032 169.736 98.97142873968 388.660118813224 305.058171296695 177.876485023495 468.905412603467 368.042463725683 214.602020029945 331.432414423987 260.140316329234 151.685315901733 245.806907935221 192.933110955098 112.497440981391 298.311126184611 234.14351570007 136.52683154409
"314" "9" "12" "pub" 81.12592850831 63.6755 37.12857149169 378.990841012081 297.468783909115 173.451186247704 618.699049568693 485.615043860803 283.157460458512 620.870887768032 487.319713203945 284.151436753579 491.075908981437 385.444020392869 224.748700319606 655.451635392058 514.462039163371 299.977865911345
"42" "10" "12" "pub" 0 0 0 196.528035192326 154.254270305296 89.9441810889378 432.276667044596 339.292670278389 197.83829204384 365.029742615546 286.510759301021 167.061667514921 317.101610305811 248.892110799809 145.126595465263 436.263229646155 342.421711407448 199.662805824819
