"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5"
"572" "9" "15" "pub" 241.61 0 32.6125367770125 35.0724333772055 36.9606497152342 152.0268599141
"76" "10" "15" "pub" 224.16 0 65.225073554025 70.1448667544109 73.9212994304684 215.503659961072
"16" "1" "16" "pub" 0 53.7243636619467 101.173474761904 77.8865548438617 102.143178092064 74.4384490716787
"140" "2" "16" "pub" 229.12 178.685727307563 199.510373787161 148.192245831873 168.840181753954 150.239733609496
"202" "3" "16" "pub" 704.6 676.25045460125 739.666121256315 524.461931049674 509.951062696033 494.430465177929
"264" "4" "16" "pub" 233.05 169.341194755389 241.029889603481 187.43196293714 111.348029901369 134.637649660988
"326" "5" "16" "pub" 547.93 169.341194755389 295.185997819848 243.637916534133 137.006194047747 165.714942656162
"388" "6" "16" "pub" 694.73 120.61033767629 473.527097689895 543.711416203816 263.033853798076 315.14905624685
"450" "7" "16" "pub" 275.8 335.510848564593 232.664626277961 609.79966250664 314.997964543168 362.042017901469
"512" "8" "16" "pub" 0 296.99918176636 103.795886838159 419.8534644112 235.126517255392 263.724137847593
"574" "9" "16" "pub" 224.16 946.31506058834 296.136531965278 1108.52389113285 625.710736658588 703.656744556986
"78" "10" "16" "pub" 0 138.57163632288 0 40.3209545488109 43.3622812536095 45.6968032708493
"18" "1" "17" "pub" 0 29.45828569792 49.8360610434682 76.2380711393364 57.996566161158 72.7796124023374
"142" "2" "17" "pub" 0 380.84457134428 356.467003869756 414.645637055686 302.943873852427 329.334020635524
"204" "3" "17" "pub" 558.07 437.508214336238 409.426769463547 458.584032034044 328.347811615949 305.589855025761
"266" "4" "17" "pub" 181.93 355.182166653519 249.369719658108 322.83184134084 244.039218822303 180.493847365483
"328" "5" "17" "pub" 0 251.092690455953 95.6496656539654 170.246533104985 147.494892529123 81.6686078126905
"390" "6" "17" "pub" 200.04 504.481722213143 137.148965430604 301.516190392599 302.900370347693 157.770652535676
"452" "7" "17" "pub" 635.34 544.546793708369 192.507955630134 388.028357735113 560.733405314449 278.403113551903
"514" "8" "17" "pub" 427.25 150.996952399213 333.063429509703 171.331694421123 523.205939335514 280.197009762871
"576" "9" "17" "pub" 596.64 255.278603191364 1158.94149988106 379.267642776275 1406.20521292222 793.071300541735
"80" "10" "17" "pub" 0 0 102.93892985965 0 29.9527090991625 32.2119803660188
"20" "1" "18" "pub" 0 0 46.8745760618436 51.2952964128609 65.7565902163553 48.8078088899174
"144" "2" "18" "pub" 633.74 122.17208112633 391.787324102298 381.534740362325 452.116354155732 330.384925762689
"206" "3" "18" "pub" 487.18 296.882760609607 335.619147907488 300.242762151001 346.272906431175 251.154807586792
"268" "4" "18" "pub" 201.07 208.222313686678 217.804729499578 181.008545011162 214.340564771185 157.15611778922
"330" "5" "18" "pub" 901.13 151.649547294505 500.902643843712 250.77955516273 382.548803138486 317.447367981714
"392" "6" "18" "pub" 605.85 183.01362165236 366.439827316703 112.574894503725 232.905222543899 253.365368531037
"454" "7" "18" "pub" 230.22 278.470313532544 344.022753053968 123.360894675937 228.339467037674 299.035759825699
"516" "8" "18" "pub" 408.28 821.453697302112 439.239592309221 714.251517330788 426.892327015506 1110.8139332981
"578" "9" "18" "pub" 0 368.411416173016 194.3934664177 557.12873882275 226.092767509218 712.648847880522
"82" "10" "18" "pub" 430.78 168.994248622848 72.3059394874879 413.173055566722 107.424997180771 423.005062454311
"22" "1" "19" "pub" 0 134.20376478044 25.8717348411254 129.841303564894 132.090888534475 161.498877031936
"146" "2" "19" "pub" 241.71 602.70376468864 159.169636802166 379.892886783848 364.319968496246 429.702447566315
"208" "3" "19" "pub" 0 304.708571404529 198.648290809389 221.907294450554 196.423688009459 227.381637776897
"270" "4" "19" "pub" 244.4 261.610628594755 157.956195701369 199.864868220172 156.882908189076 190.937108277084
"332" "5" "19" "pub" 441.11 274.09850140421 129.921576857178 202.99355373946 134.509586849512 176.965877771726
"394" "6" "19" "pub" 891.7 1037.24482800014 247.72908346115 616.933878042442 261.902742788428 439.839554602576
"456" "7" "19" "pub" 0 307.806882334337 167.189828331949 241.544060925555 98.8446066063211 161.033504178451
"518" "8" "19" "pub" 230.42 303.727529417213 509.258024757803 400.336055298729 377.320175967364 321.414146046547
"580" "9" "19" "pub" 210.05 256.569529384187 598.500148594163 318.632307861933 598.507844730766 321.771404167785
"84" "10" "19" "pub" 955.02 415.575999991553 405.025479843708 197.443791112413 764.547589828353 252.145442580684
"26" "1" "20" "pub" 241.77 36.92791672038 159.181624351585 37.2534508562647 122.959842903289 121.705439535124
"150" "2" "20" "pub" 452.01 204.78208327962 670.831302070971 208.48600973374 454.579354181748 434.723766696897
"212" "3" "20" "pub" 284.84 18.6694444716 72.884938881708 46.5536487659632 53.7930271620352 46.0854457616921
"274" "4" "20" "pub" 647.29 177.810666783104 324.825363650846 199.416971159163 241.707423671533 198.274983504116
"336" "5" "20" "pub" 688.59 513.440801754193 449.131307100918 184.444503028212 308.764124525385 189.133839867429
"398" "6" "20" "pub" 725.19 867.289086991103 1031.76762588898 294.227715882547 643.435142191986 286.408826231133
"460" "7" "20" "pub" 0 23.46870373784 102.186804461875 90.5702220935892 96.6879456848664 61.3114546782837
"522" "8" "20" "pub" 653.51 159.03532413782 349.032679172387 449.4036699498 381.06140203143 345.075557894922
"584" "9" "20" "pub" 0 257.991157513247 246.377350221376 448.057521966689 281.553005076937 438.866718992407
"88" "10" "20" "pub" 488.18 954.994814611093 492.031004199357 640.856286564032 324.848732570791 963.763966837996
"28" "1" "21" "pub" 0 115.02885720743 27.9117500430666 104.171497894626 28.3024653425378 75.6212318275026
"152" "2" "21" "pub" 211.06 643.85742862893 218.065551558443 742.5008431607 228.077829271067 514.213514346196
"214" "3" "21" "pub" 412.35 91.9214286102625 13.7611452670368 32.6178304485142 20.3734592017662 24.1862223254709
"276" "4" "21" "pub" 757.14 786.554285844554 239.24820073915 372.594275284316 213.560694167488 272.474521117309
"338" "5" "21" "pub" 196.71 245.50510204699 141.464277119439 161.68384156445 73.4883488564167 112.156009365731
"400" "6" "21" "pub" 961.63 1076.90399974705 1087.48822811277 1201.36914191828 391.898777461016 774.621181253944
"462" "7" "21" "pub" 499.08 154.605755197679 123.572802253907 196.346074988519 121.677138235918 154.910132797922
"524" "8" "21" "pub" 0 326.755 118.054580133846 242.0886613634 310.842637512368 260.002109256856
"586" "9" "21" "pub" 0 363.652142926325 508.133179624491 465.31105891999 716.673800590966 470.607484150823
"90" "10" "21" "pub" 446.32 376.59599979078 736.710285147846 379.566774457205 494.374849360458 250.597593558246
"30" "1" "22" "pub" 0 73.0592308098192 337.902582740907 103.395979498529 361.191020774136 107.252483239301
"154" "2" "22" "pub" 196.71000019671 280.737307942077 452.802659929415 147.344795713271 496.772108597082 156.180162896751
"216" "3" "22" "pub" 457.26000045726 177.233461698013 110.790421344084 30.6047856112462 50.1006615093786 29.0819878901674
"278" "4" "22" "pub" 181.93000018193 495.253173558368 371.397850337452 112.559551149147 175.098027466318 99.4325041015585
"340" "5" "22" "pub" 730.75000073075 514.656750555786 556.110428663716 247.836761106529 329.005094829316 160.547053665294
"402" "6" "22" "pub" 284.84000028484 469.381567691825 521.343487362819 469.375434929619 523.944493800948 184.26093956514
"464" "7" "22" "pub" 740.75000074075 664.108606516206 580.627261789899 531.97207239958 639.512862972241 280.054075557305
"526" "8" "22" "pub" 632.49000063249 363.539904265875 636.036756561704 502.369411372428 638.817112519314 619.491537171361
"588" "9" "22" "pub" 0 77.2476923506077 184.066354565081 293.628012198102 217.815172758155 319.862082150242
"92" "10" "22" "pub" 0 369.072308095712 430.302200886303 775.32319923596 465.993448671362 643.107176362151
"32" "1" "23" "pub" 200.15 30.52396555794 78.8326592114699 233.387866449819 72.7791480480401 251.45340615393
"156" "2" "23" "pub" 0 120.78637942768 158.477601775421 343.736881682021 108.123908820795 365.126693632335
"218" "3" "23" "pub" 0 358.54741403132 294.198752946337 314.622145261793 98.1813644230243 270.929244193862
"280" "4" "23" "pub" 212.84 524.00258663186 619.10614532591 509.83973587412 178.152612569679 260.407095927901
"342" "5" "23" "pub" 172.8 189.055287446007 160.953015683954 175.381488795524 102.681349121573 126.052841876555
