vol age ownership area
9 30 priv 1089.33
9 31 priv 573.87
9 32 priv 0
9 33 priv 222.33
9 34 priv 518.46
9 35 priv 0
9 36 priv 0
9 37 priv 655.68
10 1 priv 0
10 2 priv 0
10 3 priv 0
10 4 priv 0
10 5 priv 0
10 6 priv 0
10 7 priv 0
10 8 priv 0
10 9 priv 0
10 10 priv 45.5
10 11 priv 0
10 12 priv 558.88
10 13 priv 230.56
10 14 priv 1558.98
10 15 priv 681.02
10 16 priv 1154.03
10 17 priv 1998.68
10 18 priv 1984.09
10 19 priv 2040.4
10 20 priv 1950.51
10 21 priv 2765.4
10 22 priv 1909.19
10 23 priv 2265.39
10 24 priv 1219.31
10 25 priv 1688.64
10 26 priv 1225.25
10 27 priv 1380.97
10 28 priv 2228.27
10 29 priv 1387.95
10 30 priv 892.6
10 31 priv 408.8
10 32 priv 1065.66
10 33 priv 506.1
10 34 priv 254.52
10 35 priv 481.88
10 36 priv 0
10 37 priv 622.69
