"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5"
"125" "3" "4" "priv" 1074.48 466.05376744186 1079.66030274841 0 747.516601318711 865.726034478282
"159" "4" "4" "priv" 536.63 311.4864 989.03233939394 0 684.769173281654 793.055966746807
"193" "5" "4" "priv" 393.98 0 193.506327272727 0 133.976577381193 155.163123928723
"227" "6" "4" "priv" 0 0 0 0 0 0
"261" "7" "4" "priv" 0 0 0 0 0 0
"295" "8" "4" "priv" 0 0 0 0 0 0
"329" "9" "4" "priv" 0 0 0 0 0 0
"57" "10" "4" "priv" 0 0 0 0 0 0
"25" "1" "5" "priv" 1017.79 803.260868421053 649.624370795594 1441.63036213494 0 998.131195448876
"93" "2" "5" "priv" 1075.69 1040.73882730263 821.084836611077 1826.064642899 0 1264.29918018965
"127" "3" "5" "priv" 1273.82 1573.01762664474 1041.68188587668 2357.48362286302 0 1632.23389888564
"161" "4" "5" "priv" 922.47 1624.266875 902.781094011628 2340.40074520789 0 1620.40635033819
"195" "5" "5" "priv" 1138.16 946.535802631579 314.237812705018 903.460626895145 0 625.522505109001
"229" "6" "5" "priv" 0 0 0 0 0 0
"263" "7" "5" "priv" 0 0 0 0 0 0
"297" "8" "5" "priv" 0 0 0 0 0 0
"331" "9" "5" "priv" 0 0 0 0 0 0
"59" "10" "5" "priv" 0 0 0 0 0 0
"27" "1" "6" "priv" 1088.67 619.41109586094 508.55565616516 409.170216533974 908.424562137199 0
"95" "2" "6" "priv" 1585.75 865.553994756695 772.096828017529 605.699004863159 1347.82478221364 0
"129" "3" "6" "priv" 1763.15 680.092586397261 737.370018914686 533.191000212125 1202.82978380972 0
"163" "4" "6" "priv" 3531.48 1096.64190091074 1387.05737433205 900.760124686828 2100.96039808297 0
"197" "5" "6" "priv" 1655.03 1012.41196684723 1150.19382660665 584.954202348837 1481.0168227993 0
"231" "6" "6" "priv" 216.58 339.126503145589 499.647574042309 277.608423119796 702.147480841033 0
"265" "7" "6" "priv" 234.4 814.691952081545 932.898721921618 418.02702823528 1125.83617011614 0
"299" "8" "6" "priv" 186.21 0 0 0 0 0
"333" "9" "6" "priv" 0 0 0 0 0 0
"61" "10" "6" "priv" 0 0 0 0 0 0
"29" "1" "7" "priv" 1260.85 858.7152 483.822455237032 405.197142610168 324.00072095065 719.732829057207
"97" "2" "7" "priv" 837.05 811.491341176471 436.145187748176 382.503474187746 300.832660677333 669.63249983646
"131" "3" "7" "priv" 1576.86 1129.10301647059 562.961559007644 523.948446686793 402.407262148176 899.09539854002
"165" "4" "7" "priv" 1906.21 1965.53105323529 759.915776100484 831.323469974311 587.245559930741 1336.53545788761
"199" "5" "7" "priv" 1620.67 2523.81579911765 919.815727157688 1110.55622611396 700.336234651888 1648.57635945738
"233" "6" "7" "priv" 1146.86 1472.66738428571 640.935783822169 787.642852645631 459.909532973076 1113.58153405961
"267" "7" "7" "priv" 1345.35 1227.99806857143 1371.84857371781 1607.65991807611 778.712976196855 2028.36349960489
"301" "8" "7" "priv" 270.73 208.968388571429 126.242468604502 169.49423485264 87.9825262356402 226.761210778416
"335" "9" "7" "priv" 194.1 62.9797485714286 126.242468604502 169.49423485264 87.9825262356402 226.761210778416
"63" "10" "7" "priv" 586 0 0 0 0 0
"31" "1" "8" "priv" 0 326.144575250933 235.378065874943 131.461327203412 111.044000248646 88.5164631818628
"99" "2" "8" "priv" 1860.42 1651.41930766999 1268.80328464395 693.852790859687 597.378352247297 472.771402269014
"133" "3" "8" "priv" 849.56 717.19189725227 611.948797030941 310.190750180799 283.710371185434 218.972930461057
"167" "4" "8" "priv" 1640.35 1342.33715203526 1185.42041908146 515.499767659665 524.981830096729 382.576681481597
"201" "5" "8" "priv" 2039.96 1380.76934440117 1495.22072824861 593.294793349817 653.187751877206 449.527794541579
"235" "6" "8" "priv" 1406.32 1177.33953713036 1623.85882537257 640.846156968437 764.464075409323 476.866556751556
