"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5" "step6" "step7" "step8" "step9" "step10" "step11" "step12" "step13" "step14" "step15" "step16" "step17" "step18" "step19" "step20"
"296" "3" "9" "pub" 434.91 618.531157865436 263.241842824305 430.073546975088 562.730848071098 468.419813728779 67.8568599811439 1015.24624410289 0 726.988968017406 761.495504747086 798.94179029784 826.708691808456 831.665920170661 830.632429336912 836.946136314861 850.768276322053 857.615920368001 859.873903286754 851.453248238548 839.392367160214
"370" "4" "9" "pub" 951.32 671.557533871769 598.096663739834 869.147158833998 1160.70382813052 961.080205590029 137.164350249633 2089.24259543878 0 1476.0581918446 1546.11930480884 1622.14920206035 1678.526347024 1688.59136568973 1686.49299462983 1699.31216976962 1727.37625861278 1741.27952473306 1745.86407048396 1728.7670065512 1704.27892887777
"444" "5" "9" "pub" 229.92 670.601954831627 807.871716413706 1124.72064683203 1776.87034679186 1495.60269404024 210.537681920867 3267.90354204678 0 2273.7683666475 2381.69279894319 2498.81174198019 2585.65694193808 2601.16142623166 2597.92902674779 2617.67610384841 2660.90694515462 2682.32399149605 2689.3861758743 2663.04929881374 2625.32706219631
"518" "6" "9" "pub" 178.46 305.785037584961 402.639616321313 489.161274902276 787.540486106279 664.875696184902 93.4162510821542 1454.7335168473 0 1009.2514740876 1057.15560275005 1109.14087426561 1147.6886205359 1154.57055444693 1153.13579794676 1161.90088016228 1181.08963788903 1190.59596487807 1193.73063774034 1182.04055866891 1165.29689054929
"592" "7" "9" "pub" 0 239.75578942873 265.150399272445 342.7631778748 578.569648868909 490.888005879973 68.725505040956 1075.80892183043 0 743.141041728248 778.41423675576 816.692495267621 845.07631541064 850.143682332617 849.087229637189 855.541213104855 869.670450240145 876.670233666801 878.978383930791 870.370640705163 858.041793744587
"666" "8" "9" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"740" "9" "9" "pub" 453.14 226.997368448625 118.378765921638 0 17.5286586367504 19.8594611850503 2.40559002948087 50.0077344079524 0 26.4707282329283 27.7271615437692 29.0906353951673 30.1016687616879 30.282168673705 30.2445377656789 30.4744290417617 30.9777133112956 31.2270460144733 31.3092624645522 31.0026541374242 30.5634998733026
"148" "10" "9" "pub" 0 203.0315789093 0 0 18.8471564478643 21.3532809145013 2.58653742848252 53.7692936762359 0 28.4618444932752 29.8127861521012 31.2788198927547 32.3659027339297 32.5599797680661 32.5195182800801 32.766701874451 33.3078429601566 33.5759303570157 33.664331091455 33.334659823998 32.8624725738399
"4" "1" "10" "pub" 192.63 63.3542857142857 143.883179865204 44.0202647921897 69.0384281753897 100.696723621545 85.2297114261776 12.4482839146123 184.618571767059 0 133.009419171531 139.32271223367 146.173859789348 151.254073664108 152.161044875729 151.971958078592 153.127109717614 155.655999281204 156.908839691876 157.321958748334 155.781321288511
"152" "2" "10" "pub" 1052.51 274.978608037266 709.963560018193 240.67269631582 386.719095758025 539.055756839739 453.322321410645 66.0162829570931 982.134854331878 0 706.060070133322 739.573216570549 775.941480967053 802.909015951024 807.723533308324 806.719795091292 812.851740124529 826.275961910844 832.92647278244 835.119451834547 826.941214535954
