"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell" "step6.nomgmt" "step6.thin" "step6.finalfell" "step7.nomgmt" "step7.thin" "step7.finalfell" "step8.nomgmt" "step8.thin" "step8.finalfell" "step9.nomgmt" "step9.thin" "step9.finalfell" "step10.nomgmt" "step10.thin" "step10.finalfell" "step11.nomgmt" "step11.thin" "step11.finalfell" "step12.nomgmt" "step12.thin" "step12.finalfell" "step13.nomgmt" "step13.thin" "step13.finalfell" "step14.nomgmt" "step14.thin" "step14.finalfell" "step15.nomgmt" "step15.thin" "step15.finalfell" "step16.nomgmt" "step16.thin" "step16.finalfell" "step17.nomgmt" "step17.thin" "step17.finalfell" "step18.nomgmt" "step18.thin" "step18.finalfell" "step19.nomgmt" "step19.thin" "step19.finalfell" "step20.nomgmt" "step20.thin" "step20.finalfell"
"582" "7" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"656" "8" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"730" "9" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"138" "10" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"66" "1" "5" "pub" 948.294 105.366 0 847.546714274503 94.1718571416114 0 124.41258188005 13.8236202088944 0 1835.88715694225 203.987461882473 0 0 0 0 1326.89442545057 147.432713938952 0 1389.8754791426 154.430608793622 0 1458.2221387716 162.024682085733 0 1508.90206439269 167.655784932521 0 1517.94995778429 168.661106420477 0 1516.06363861525 168.451515401694 0 1527.58736588145 169.731929542383 0 1552.81542480696 172.535047200773 0 1565.31368972123 173.923743302359 0 1569.43494200905 174.381660223227 0 1554.06563004744 172.67395889416 0 1532.05220677293 170.22802297477 0 1504.6489727512 167.183219194577 0 1478.67349451561 164.297054946179 0 1445.39859557521 160.599843952802 0 1399.15619988835 155.461799987594 0
"214" "2" "5" "pub" 2324.304 258.256 0 1755.96698899078 195.107443221198 0 256.826477349263 28.5362752610293 0 3803.31660011588 422.590733346209 0 0 0 0 2744.08712096642 304.898568996268 0 2874.33523640522 319.370581822802 0 3015.6797057554 335.075522861711 0 3120.48844450727 346.720938278585 0 3139.19996160431 348.799995733812 0 3135.29895483351 348.366550537057 0 3159.13062596739 351.014513996376 0 3211.30357225207 356.811508028008 0 3237.15063824909 359.683404249898 0 3245.67360368501 360.630400409446 0 3213.88906212464 357.098784680515 0 3168.364150619 352.040461179889 0 3111.69282838751 345.743647598613 0 3057.97417984997 339.774908872218 0 2989.15994724605 332.128883027338 0 2893.52825265673 321.503139184081 0
"288" "3" "5" "pub" 1426.248 158.472 0 1287.96196155928 143.106884617698 0 175.532085368682 19.5035650409647 0 2777.2043016111 308.578255734567 0 0 0 0 1921.47060548497 213.496733942774 0 2012.6732219483 223.630357994256 0 2111.645751293 234.627305699222 0 2185.03515251534 242.781683612816 0 2198.13737139581 244.237485710646 0 2195.40580001653 243.933977779615 0 2212.09326420579 245.78814046731 0 2248.6259172406 249.847324137845 0 2266.72460557008 251.858289507786 0 2272.69257481988 252.521397202209 0 2250.43633453857 250.048481615396 0 2218.55878276296 246.506531418107 0 2178.87626721534 242.097363023927 0 2141.26127921346 237.917919912606 0 2093.07602876089 232.564003195654 0 2026.11259720578 225.123621911753 0
"362" "4" "5" "pub" 208.251 23.139 0 235.942335175433 26.2158150194925 0 28.5798554020043 3.17553948911159 0 594.121941330768 66.013549036752 0 0 0 0 314.488161329012 34.9431290365569 0 329.415344226358 36.6017049140398 0 345.614233080991 38.4015814534434 0 357.625917145044 39.736213016116 0 359.770364587169 39.9744849541299 0 359.323286782202 39.9248096424669 0 362.05453331553 40.2282814795034 0 368.033852930721 40.8926503256357 0 370.996075302979 41.2217861447755 0 371.972856145153 41.3303173494614 0 368.330164935521 40.9255738817246 0 363.112748329218 40.3458609254687 0 356.617888966885 39.6242098852095 0 350.461422986424 38.9401581096026 0 342.574916279139 38.0638795865711 0 331.614974239989 36.8461082488876 0
"436" "5" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"510" "6" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"584" "7" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"658" "8" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"732" "9" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"140" "10" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
